id,name,uf,population
1100015,Alta Floresta D'Oeste,RO,22945
1100023,Ariquemes,RO,107863
1100031,Cabixi,RO,5312
1100049,Cacoal,RO,85359
1100056,Cerejeiras,RO,16323
1100064,Colorado do Oeste,RO,15882
1100072,Corumbiara,RO,7391
1100080,Costa Marques,RO,18331
1100098,Espigão D'Oeste,RO,32374
1100106,Guajará-Mirim,RO,46174
1100114,Jaru,RO,51775
1100122,Ji-Paraná,RO,128969
1100130,Machadinho D'Oeste,RO,39991
1100148,Nova Brasilândia D'Oeste,RO,20474
1100155,Ouro Preto do Oeste,RO,36035
1100189,Pimenta Bueno,RO,36660
1100205,Porto Velho,RO,529544
1100254,Presidente Médici,RO,18986
1100262,Rio Crespo,RO,3764
1100288,Rolim de Moura,RO,55058
1100296,Santa Luzia D'Oeste,RO,6495
1100304,Vilhena,RO,99854
1100320,São Miguel do Guaporé,RO,23005
1100338,Nova Mamoré,RO,30583
1100346,Alvorada D'Oeste,RO,14411
1100379,Alto Alegre dos Parecis,RO,13241
1100403,Alto Paraíso,RO,21428
1100452,Buritis,RO,39654
1100502,Novo Horizonte do Oeste,RO,8538
1100601,Cacaulândia,RO,6230
1100700,Campo Novo de Rondônia,RO,14139
1100809,Candeias do Jamari,RO,26693
1100908,Castanheiras,RO,3052
1100924,Chupinguaia,RO,11182
1100940,Cujubim,RO,25215
1101005,Governador Jorge Teixeira,RO,7767
1101104,Itapuã do Oeste,RO,10458
1101203,Ministro Andreazza,RO,9660
1101302,Mirante da Serra,RO,10947
1101401,Monte Negro,RO,15852
1101435,Nova União,RO,6970
1101450,Parecis,RO,6074
1101468,Pimenteiras do Oeste,RO,2169
1101476,Primavera de Rondônia,RO,2856
1101484,São Felipe D'Oeste,RO,5172
1101492,São Francisco do Guaporé,RO,20266
1101500,Seringueiras,RO,11856
1101559,Teixeirópolis,RO,4308
1101609,Theobroma,RO,10444
1101708,Urupá,RO,11467
1101757,Vale do Anari,RO,11204
1101807,Vale do Paraíso,RO,6825
1200013,Acrelândia,AC,15256
1200054,Assis Brasil,AC,7417
1200104,Brasiléia,AC,26278
1200138,Bujari,AC,10266
1200179,Capixaba,AC,11733
1200203,Cruzeiro do Sul,AC,88376
1200252,Epitaciolândia,AC,18411
1200302,Feijó,AC,34780
1200328,Jordão,AC,8317
1200336,Mâncio Lima,AC,18977
1200344,Manoel Urbano,AC,9459
1200351,Marechal Thaumaturgo,AC,18867
1200385,Plácido de Castro,AC,19761
1200393,Porto Walter,AC,11982
1200401,Rio Branco,AC,407319
1200427,Rodrigues Alves,AC,18930
1200435,Santa Rosa do Purus,AC,6540
1200450,Senador Guiomard,AC,23024
1200500,Sena Madureira,AC,45848
1200609,Tarauacá,AC,42567
1200708,Xapuri,AC,19323
1200807,Porto Acre,AC,18504
1300029,Alvarães,AM,16041
1300060,Amaturá,AM,11536
1300086,Anamã,AM,13614
1300102,Anori,AM,21010
1300144,Apuí,AM,21973
1300201,Atalaia do Norte,AM,19921
1300300,Autazes,AM,39565
1300409,Barcelos,AM,27502
1300508,Barreirinha,AM,32041
1300607,Benjamin Constant,AM,42984
1300631,Beruri,AM,19679
1300680,Boa Vista do Ramos,AM,19207
1300706,Boca do Acre,AM,34308
1300805,Borba,AM,41161
1300839,Caapiranga,AM,13081
1300904,Canutama,AM,15629
1301001,Carauari,AM,28294
1301100,Careiro,AM,37869
1301159,Careiro da Várzea,AM,30225
1301209,Coari,AM,85097
1301308,Codajás,AM,28637
1301407,Eirunepé,AM,35273
1301506,Envira,AM,20033
1301605,Fonte Boa,AM,17609
1301654,Guajará,AM,16678
1301704,Humaitá,AM,55080
1301803,Ipixuna,AM,29689
1301852,Iranduba,AM,48296
1301902,Itacoatiara,AM,101337
1301951,Itamarati,AM,7851
1302009,Itapiranga,AM,9148
1302108,Japurá,AM,2755
1302207,Juruá,AM,14712
1302306,Jutaí,AM,14317
1302405,Lábrea,AM,46069
1302504,Manacapuru,AM,97377
1302553,Manaquiri,AM,32105
1302603,Manaus,AM,2182763
1302702,Manicoré,AM,55751
1302801,Maraã,AM,18224
1302900,Maués,AM,63905
1303007,Nhamundá,AM,21173
1303106,Nova Olinda do Norte,AM,37378
1303205,Novo Airão,AM,19454
1303304,Novo Aripuanã,AM,25644
1303403,Parintins,AM,114273
1303502,Pauini,AM,19426
1303536,Presidente Figueiredo,AM,36279
1303569,Rio Preto da Eva,AM,33347
1303601,Santa Isabel do Rio Negro,AM,25156
1303700,Santo Antônio do Içá,AM,21602
1303809,São Gabriel da Cachoeira,AM,45564
1303908,São Paulo de Olivença,AM,39299
1303957,São Sebastião do Uatumã,AM,14020
1304005,Silves,AM,9171
1304062,Tabatinga,AM,65844
1304104,Tapauá,AM,17156
1304203,Tefé,AM,59849
1304237,Tonantins,AM,18755
1304260,Uarini,AM,13540
1304302,Urucará,AM,16256
1304401,Urucurituba,AM,23065
